gsis_id,name,position,team,height,weight,age,college,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0023459,Aaron Rodgers,QB,NYJ,74.0,223.0,41.1,California,00-0023459,2024,REG,368,584,3897.0,28,11.0,40.0,302.0,5,2,4014.0,2119.0,192.0,10.130993453394488,2,17.796653277127803,1.3670849216482237,22,107.0,0,0.0,0.0,7.0,4.280564359933793,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,256.58,256.58,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17703230435922554
00-0026158,Joe Flacco,QB,IND,78.0,230.0,40.0,Delaware,00-0026158,2024,REG,162,248,1761.0,12,7.0,18.0,123.0,3,3,2215.0,651.0,87.0,2.9993858721668687,0,5.588957026193659,0.7075546323521819,9,26.0,0,1.0,1.0,2.0,-7.002136736351531,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,99.04,99.04,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15615539858728558
00-0026498,Matthew Stafford,QB,LAR,75.0,214.0,36.9,Georgia,00-0026498,2024,REG,340,517,3762.0,20,8.0,28.0,213.0,4,2,3869.0,1726.0,176.0,34.73475009959403,0,16.49477300773636,1.6076459391984972,30,41.0,0,2.0,0.0,10.0,-3.011842658896128,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,214.58,214.58,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445684329925353
00-0027973,Andy Dalton,QB,CAR,74.0,220.0,37.2,TCU,00-0027973,2024,REG,106,160,989.0,7,6.0,7.0,37.0,1,0,1062.0,459.0,50.0,-18.095891326278156,0,4.954892415242316,0.3414501510881374,11,34.0,0,0.0,0.0,2.0,-3.431674593843093,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,58.96,58.96,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13434808367133028
00-0029263,Russell Wilson,QB,PIT,71.0,206.0,36.1,Wisconsin,00-0029263,2024,REG,214,336,2482.0,16,5.0,33.0,219.0,3,2,2668.0,1122.0,112.0,-0.9645129991215988,0,10.591329886787014,1.2347437409325086,43,155.0,2,2.0,2.0,16.0,-7.594189534254838,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,172.78,172.78,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19431386221012617
00-0029604,Kirk Cousins,QB,ATL,75.0,205.0,36.4,Michigan State,00-0029604,2024,REG,303,453,3508.0,18,16.0,28.0,201.0,7,2,3374.0,1687.0,163.0,22.081388022190346,0,15.40231532876094,1.3462439630467993,23,0.0,0,5.0,0.0,2.0,-16.772096396629887,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,176.32,176.32,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476296531975819
00-0030565,Geno Smith,QB,SEA,75.0,221.0,34.3,West Virginia,00-0030565,2024,REG,407,578,4320.0,21,15.0,50.0,338.0,4,0,3996.0,2181.0,209.0,24.594096387796093,0,21.209822271889777,1.9445400955113343,53,272.0,2,4.0,0.0,17.0,1.241315049061086,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1815005868064085
00-0031280,Derek Carr,QB,NOS,75.0,215.0,33.8,Fresno State,00-0031280,2024,REG,189,279,2145.0,15,5.0,8.0,48.0,2,0,2178.0,1087.0,93.0,48.41037511315902,1,10.92704579766883,1.3298792139845894,17,71.0,1,1.0,0.0,4.0,-1.0944499316974543,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,150.9,150.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17566938300349244
00-0031503,Jameis Winston,QB,CLE,76.0,230.0,31.0,Florida State,00-0031503,2024,REG,181,296,2121.0,13,12.0,24.0,130.0,5,2,2640.0,765.0,103.0,-26.844956939174565,4,6.205245238957251,0.6874011571163273,25,83.0,1,0.0,0.0,17.0,16.702675447857473,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,131.14,131.14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393120445322625
00-0033077,Dak Prescott,QB,DAL,74.0,238.0,31.5,Mississippi State,00-0033077,2024,REG,185,286,1978.0,11,8.0,21.0,112.0,4,1,2270.0,939.0,87.0,-7.367385972918669,0,7.760683276928484,0.5714389775987134,13,54.0,1,0.0,0.0,5.0,4.512992455798667,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,116.52,116.52,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16767880270542523
