gsis_id,name,position,team,height,weight,age,college,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0032764,Derrick Henry,RB,BAL,74.0,247.0,31.0,Alabama,00-0032764,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,325,1921.0,16,3.0,1.0,94.0,40.596154030029325,0,19,22,193.0,2,0.0,0.0,-25.0,216.0,11.0,9.010280206304742,0,25.501190476190473,0.8977245043431621,-0.1670150158744486,1.2296762454026293,0.0,317.40000000000003,336.40000000000003,17,0.04612159329140461,-0.006006727534839019,0.10354745925215723,0.0643770079092357,0.04607304846025304,0.04878048780487805,0.05527638190954774,0.05416666666666667,0.04742676813256555,0.046614536329178044,0.40461215932914046,0.1934044706098795
00-0033293,Aaron Jones,RB,MIN,70.0,195.0,30.1,UTEP,00-0033293,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,255,1138.0,5,3.0,1.0,49.0,-13.446157851263338,0,51,62,408.0,2,2.0,2.0,54.0,411.0,20.0,3.297681135018966,0,-10.676289538074435,2.069369750443312,0.1497497783475827,3.2088794705082755,0.0,190.60000000000002,241.6,17,0.11313868613138686,0.011675675675675675,0.22909698996655517,0.17904856973762082,0.0931719570678237,0.05714285714285714,0.09523809523809523,0.08979591836734693,0.07515740710534043,0.0859661370828304,0.7445255474452555,0.15826433287915312
00-0033553,James Conner,RB,ARI,73.0,233.0,29.7,Pittsburgh,00-0033553,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,236,1094.0,8,2.0,0.0,67.0,0.07157158606021596,2,47,55,414.0,1,2.0,1.0,-103.0,483.0,17.0,5.554130418913666,0,-56.4488566988567,1.8361380378966936,-0.5807225182146292,2.3477012940948,0.0,206.8,253.8,16,0.10826771653543307,-0.029648819804260217,0.26065839179708583,0.13868251895974143,0.11445949682056954,0.058823529411764705,0.096045197740113,0.09278350515463918,0.08664151311616712,0.10333230333880858,0.8149606299212598,0.19178165001737973
00-0033897,Joe Mixon,RB,HOU,73.0,220.0,28.5,Oklahoma,00-0033897,2024,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,10.0,0.0,0.0,-0.7261459626606666,0,0.0,0.0,245,1016.0,11,0.0,0.0,52.0,-13.221762804294904,0,36,52,309.0,1,0.0,0.0,-27.0,360.0,12.0,3.0244838391737554,0,53.0078431372549,1.713289837578762,-0.1076891938866308,2.494552320647501,0.0,204.5,240.5,14,0.11607142857142858,-0.007058823529411765,0.2898550724637681,0.16846008403361343,0.10407544627820815,0.0625,0.08108108108108109,0.07926829268292683,0.08328772313910407,0.09576035702256652,0.6897321428571429,0.2253434027322302
00-0033906,Alvin Kamara,RB,NOS,70.0,215.0,29.5,Tennessee,00-0033906,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,228,950.0,6,0.0,0.0,52.0,-18.174864595851048,0,68,89,543.0,2,1.0,0.0,79.0,542.0,18.0,-6.146962946878427,0,-15.471683784094115,2.978429999348596,0.3348237122882166,4.702021597624646,0.0,197.3,265.3,14,0.20090293453724606,0.02254566210045662,0.3575197889182058,0.3193909314862344,0.1740942609810837,0.10526315789473684,0.1323529411764706,0.12903225806451613,0.13967870943791028,0.16032804036381434,1.2257336343115124,0.22992390757977574
00-0033923,Kareem Hunt,RB,KCC,71.0,216.0,29.4,Toledo,00-0033923,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,200,728.0,7,0.0,0.0,42.0,2.1483876313845216,0,23,32,176.0,0,0.0,0.0,-58.0,216.0,10.0,3.0172128671776366,0,18.108333333333334,0.8725156626621552,-0.24173479399781694,1.1395591381947607,0.0,132.4,155.4,13,0.06517311608961303,-0.01806290875116786,0.116254036598493,0.08330934713348526,0.05351170568561873,0.0,0.05555555555555555,0.04975124378109453,0.026755852842809364,0.04280936454849499,0.35845213849287166,0.1292995856422545
00-0034184,Gus Edwards,RB,LAC,73.0,238.0,29.7,Rutgers,00-0034184,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,101,365.0,4,0.0,0.0,17.0,-13.124124479896064,0,3,5,6.0,0,0.0,0.0,-15.0,11.0,0.0,-3.101063936483115,0,-0.3333333333333333,0.1761111111111111,-0.07003744425365514,0.21514045568910808,0.0,61.1,64.10000000000001,11,0.016556291390728478,-0.005809450038729667,0.011603375527426161,0.020186877055108982,0.0028208744710860366,0.0,0.0,0.0,0.0014104372355430183,0.002256699576868829,0.019867549668874173,0.07981770184788564
00-0034791,Nick Chubb,RB,CLE,71.0,227.0,29.0,Georgia,00-0034791,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,102,332.0,3,1.0,1.0,17.0,-20.57457828947537,0,5,11,31.0,1,0.0,0.0,-5.0,31.0,3.0,-16.317357186810113,0,2.6666666666666665,0.26342140160197036,-0.002327074913063337,0.39350314996381114,0.0,58.3,63.3,8,0.031791907514450865,-0.0016818028927009755,0.03613053613053613,0.046342418957515515,0.013287612516073724,0.07692307692307693,0.02702702702702703,0.03225806451612903,0.04510534471957533,0.026014705397474365,0.08959537572254335,0.08492996296892609
00-0034844,Saquon Barkley,RB,PHI,72.0,233.0,27.9,Penn State,00-0034844,2024,REG,0,0,0.0,0,0.0,1.0,2.0,0,0,0.0,0.0,0.0,-1.659953220529728,0,0.0,0.0,345,2005.0,13,2.0,1.0,82.0,34.09963718580769,3,33,43,278.0,2,0.0,0.0,98.0,245.0,12.0,12.20253446957541,0,63.15601285378816,1.8986643785106443,0.40878499509740024,3.1341460643341468,0.0,322.3,355.3,16,0.10565110565110565,0.030501089324618737,0.16850068775790922,0.18287752993635348,0.08559113300492611,0.09090909090909091,0.0784313725490196,0.08,0.08825011195700852,0.08665472458575908,0.683046683046683,0.25262723795167874
00-0034972,Alexander Mattison,RB,LVR,71.0,220.0,26.6,Boise State,00-0034972,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,132,420.0,4,1.0,1.0,25.0,-30.891997679007826,1,36,48,294.0,1,0.0,0.0,-4.0,314.0,13.0,-6.277238814333214,0,-25.742261904761904,1.411990117137176,-0.05405431171059041,2.0801471575083506,0.0,101.4,137.4,14,0.09411764705882353,-0.0011013215859030838,0.18972809667673715,0.1402954133195128,0.0906288532675709,0.0625,0.07514450867052024,0.07407407407407407,0.07656442663378546,0.08500308261405673,0.5764705882352941,0.12874088788111612
