gsis_id,name,position,team,height,weight,age,college,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0030061,Zach Ertz,TE,WAS,77.0,250.0,34.2,Stanford,00-0030061,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,66,91,654.0,7,1.0,0.0,686.0,187.0,38.0,28.876541475512305,2,18.99759813306025,3.0367439129223124,3.092115114932669,6.719596449836337,0.0,111.4,177.4,17,0.17333333333333334,0.1718436873747495,0.0990990990990991,0.3974749498997996,0.16632756866734486,0.2413793103448276,0.19791666666666666,0.20361990950226244,0.20385343950608623,0.1813379170028414,1.2457142857142858,0.11077945272202726
00-0030506,Travis Kelce,TE,KCC,77.0,250.0,35.3,Cincinnati,00-0030506,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.09222689614398405,0,97,133,823.0,3,2.0,1.0,883.0,341.0,46.0,21.573750875772742,0,14.771537866481065,3.7343693051020184,4.033710576953776,8.42515136152067,0.0,98.4,195.4,16,0.2281303602058319,0.23955507325013564,0.1473002159827214,0.5338395989088565,0.20845997973657548,0.11538461538461539,0.21395348837209302,0.2033195020746888,0.16192229756059545,0.18984490686618347,1.411663807890223,0.1352230418956139
00-0032392,Austin Hooper,TE,NEP,76.0,254.0,30.2,Stanford,00-0032392,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,45,59,476.0,3,2.0,1.0,386.0,225.0,25.0,12.704732686969777,0,27.01440775174646,2.0716316499680865,1.835270424444419,4.392136772063223,0.0,63.6,108.60000000000001,17,0.11153119092627599,0.10036401456058243,0.13227513227513227,0.24758799803787992,0.14238707747532156,0.16666666666666666,0.1497005988023952,0.15135135135135136,0.1545268720709941,0.14724299531359059,0.8998109640831758,0.08909526466051915
00-0033090,Hunter Henry,TE,NEP,77.0,249.0,30.1,Arkansas,00-0033090,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,66,97,674.0,2,0.0,0.0,682.0,268.0,40.0,24.198654983008804,0,17.54724316269301,3.258139779659161,3.136533101540821,7.082782840567316,0.0,79.4,145.4,16,0.19438877755511022,0.1914117316867808,0.16451810926949048,0.44471255168209,0.21727917472598324,0.11764705882352941,0.26143790849673204,0.24705882352941178,0.16746311677475634,0.19735275154549248,1.3507014028056112,0.1273784910817535
00-0033288,George Kittle,TE,SFO,76.0,250.0,31.3,Iowa,00-0033288,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,78,94,1106.0,8,0.0,0.0,800.0,522.0,50.0,67.94492774419525,0,22.368920179307267,3.1110439106994106,3.0741067036124052,6.818440558577799,0.0,158.6,236.60000000000002,15,0.19789473684210526,0.19767729182110205,0.2993119266055046,0.45498393872003956,0.27837905864585955,0.42105263157894735,0.27624309392265195,0.29,0.34971584511240345,0.3069137732324771,2.328421052631579,0.18203920844489585
00-0033858,Jonnu Smith,TE,MIA,75.0,248.0,29.4,Florida International,00-0033858,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,-1.0,0,0.0,0.0,0.0,-1.640453429252375,0,88,111,884.0,8,2.0,1.0,542.0,510.0,55.0,59.70916966191411,0,50.55942344112465,3.2865398345264736,2.5140843973791736,6.689668829955132,0.0,134.3,222.3,17,0.18781725888324874,0.14605227701428186,0.23076923076923078,0.3985677099362986,0.21902874132804756,0.36363636363636365,0.248868778280543,0.25925925925925924,0.2913325524822056,0.2479502657897108,1.4957698815566836,0.156600025360328
00-0033881,Evan Engram,TE,JAC,75.0,240.0,30.4,Mississippi,00-0033881,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,47,64,365.0,1,1.0,1.0,360.0,150.0,17.0,-0.04276347453713836,1,11.606411933985349,2.2914786967418546,1.4673705250490614,4.464377412647125,0.0,42.5,89.5,9,0.24242424242424243,0.15056461731493098,0.18028846153846154,0.4840880574883084,0.20088057237204182,0.125,0.18888888888888888,0.1836734693877551,0.1629402861860209,0.18570445789763346,1.3825757575757576,0.14419668750402784
00-0033885,David Njoku,TE,CLE,76.0,246.0,28.5,Miami,00-0033885,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,97,505.0,5,0.0,0.0,510.0,251.0,23.0,-7.312480269892635,2,14.424476848492935,2.499704835757388,1.6464704178563823,4.90208654613555,0.0,84.5,148.5,11,0.21896162528216703,0.13858695652173914,0.21361702127659574,0.4393120031406419,0.18009985734664766,0.3333333333333333,0.17424242424242425,0.19047619047619047,0.25671659533999047,0.21074655254398478,1.1399548532731376,0.16004569654904835
00-0034159,Will Dissly,TE,LAC,76.0,265.0,28.5,Washington,00-0034159,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,50,64,481.0,2,0.0,0.0,295.0,303.0,24.0,15.463689936034317,0,39.42597219959601,2.2575295349904563,1.2464086799564955,4.258780378455231,0.0,60.1,110.1,15,0.14382022471910114,0.07603092783505154,0.20570264765784113,0.27655507934669293,0.14072557050906964,0.10526315789473684,0.15789473684210525,0.15204678362573099,0.12299436420190324,0.1336330879862031,1.0808988764044944,0.09018528530004422
00-0034270,Tyler Conklin,TE,NYJ,75.0,248.0,29.5,Central Michigan,00-0034270,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,-3.2755141734378412,0,51,72,449.0,4,0.0,0.0,358.0,262.0,24.0,10.081812269940906,1,28.071011222448487,1.9990946807855825,1.5184965589313661,4.06158961243033,0.0,70.9,121.9,16,0.12478336221837089,0.09610738255033557,0.12931885488647582,0.26406094936782476,0.1204722296753421,0.14285714285714285,0.1256544502617801,0.1278538812785388,0.13166468626624248,0.12494921231170225,0.7781629116117851,0.09094435906235544
