gsis_id,name,position,team,height,weight,age,college,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0030035,Adam Thielen,WR,CAR,74.0,195.0,34.4,Minnesota State-Mankato,00-0030035,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,48,62,615.0,5,0.0,0.0,692.0,152.0,28.0,40.429083193776734,0,9.450610603418246,2.0403137819874573,2.622008899369427,4.895876902539785,0.0,91.5,139.5,10,0.1901840490797546,0.24255169996494919,0.1733181299885975,0.4793174335915913,0.2839335180055402,0.35714285714285715,0.26666666666666666,0.2773109243697479,0.32053818757419866,0.2985753858330036,1.8865030674846626,0.1737365182952649
00-0030279,Keenan Allen,WR,CHI,74.0,211.0,32.7,California,00-0030279,2024,REG,0,1,0.0,0,1.0,0.0,0.0,0,0,14.0,0.0,0.0,-5.911163269076496,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,70,121,744.0,7,1.0,0.0,1115.0,240.0,43.0,23.16483989555049,0,13.138534043433602,3.9753152352731083,4.777649076568629,9.307327206507702,0.0,114.4,184.4,15,0.25366876310272535,0.3005390835579515,0.1476923076923077,0.6209344115004493,0.24676616915422886,0.3888888888888889,0.2925170068027211,0.30303030303030304,0.31782752902155886,0.2751907131011609,1.559748427672956,0.16216691583853665
00-0030564,DeAndre Hopkins,WR,KCC,73.0,218.0,32.6,Clemson,00-0030564,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,56,80,610.0,5,1.0,0.0,896.0,109.0,35.0,19.209225964236232,0,11.285996671611127,2.3191714930481973,3.7987275885204985,6.137866551536645,0.0,91.0,147.0,16,0.1384083044982699,0.2279318239633681,0.05816435432230523,0.38995791591809936,0.17144463181562675,0.19230769230769232,0.17676767676767677,0.17857142857142858,0.18187616206165952,0.17561724391403988,1.055363321799308,0.10944666150455656
00-0031236,Brandin Cooks,WR,DAL,70.0,189.0,31.3,Oregon State,00-0031236,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,-3.0,0,0.0,0.0,0.0,-2.8204676375025883,0,26,54,259.0,3,0.0,0.0,634.0,55.0,19.0,-11.122766286566897,0,5.751777715446384,1.657721592430076,2.4672794536240956,4.213678006181981,0.0,43.6,69.6,10,0.15606936416184972,0.2378986866791745,0.046848381601362864,0.4244229955861142,0.11002548853016143,0.21428571428571427,0.1743119266055046,0.17886178861788618,0.16215560140793786,0.13087753368127203,0.7485549132947977,0.08578189706172351
00-0031381,Davante Adams,WR,NYJ,73.0,215.0,32.0,Fresno State,00-0031381,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,85,141,1063.0,8,0.0,0.0,1172.0,473.0,49.0,19.679024739002404,1,17.303081731949973,4.138298151972922,5.099001598169743,9.776748346678204,0.0,156.3,241.29999999999998,14,0.28600405679513186,0.3600614439324117,0.25416442772702846,0.7170552403386272,0.3106370543541788,0.32,0.28654970760233917,0.29081632653061223,0.3153185271770894,0.3125096434833431,2.156186612576065,0.19889876193145284
00-0031408,Mike Evans,WR,TBB,77.0,231.0,31.4,Texas A&M,00-0031408,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,74,110,1004.0,11,0.0,0.0,1274.0,226.0,53.0,38.52560734764584,0,11.184818260493808,3.505910757082396,5.6358715472145855,9.203976218673803,0.0,166.4,240.4,14,0.2386117136659436,0.3852434230420321,0.1103515625,0.6661123089325411,0.2601710287639285,0.3142857142857143,0.2760416666666667,0.28193832599118945,0.2872283715248214,0.27099396586828567,2.177874186550976,0.1606672637108524
00-0031544,Amari Cooper,WR,BUF,73.0,210.0,30.6,Alabama,00-0031544,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,44,85,547.0,4,0.0,0.0,1161.0,111.0,24.0,6.906823084573158,0,8.483874416281513,2.690523731874312,4.356081451842356,7.085042614101117,0.0,78.7,122.7,13,0.20286396181384247,0.34389810426540285,0.07189119170984457,0.579414426133086,0.19514805565465573,0.21052631578947367,0.19047619047619047,0.19310344827586207,0.20283718572206472,0.19822370768161932,1.305489260143198,0.11242234886661413
00-0031588,Stefon Diggs,WR,HOU,72.0,191.0,31.1,Maryland,00-0031588,2024,REG,1,1,13.0,0,0.0,0.0,0.0,0,0,-4.0,17.0,1.0,2.762919135740958,0,0.0,0.0,3,8.0,1,0.0,0.0,1.0,0.6301916954689659,0,47,64,496.0,3,0.0,0.0,556.0,185.0,31.0,18.081069017473652,0,9.639518074947317,1.9526569063590702,2.3482620631457003,4.572768803740595,0.0,74.92,121.92,8,0.22857142857142856,0.270823185582075,0.19494204425711276,0.5595156913228029,0.24313725490196078,0.2727272727272727,0.2897196261682243,0.288135593220339,0.25793226381461676,0.24905525846702317,1.7714285714285714,0.17179089756235028
00-0032211,Tyler Lockett,WR,SEA,70.0,182.0,32.3,Kansas State,00-0032211,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,49,74,600.0,2,0.0,0.0,783.0,134.0,36.0,12.303688607082538,0,15.179849307309645,2.253995423094621,3.406090918002158,5.765256777243442,0.0,72.0,121.0,17,0.12478920741989882,0.19032571706368498,0.061243144424131625,0.3394443847807962,0.13701758392327015,0.09523809523809523,0.17061611374407584,0.16379310344827586,0.11612783958068269,0.1286616861862352,1.0118043844856661,0.08256229700592266
00-0032385,Sterling Shepard,WR,TBB,70.0,194.0,31.9,Oklahoma,00-0032385,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,8,69.0,0,0.0,0.0,4.0,2.7010305791627616,0,32,51,334.0,1,0.0,0.0,473.0,99.0,16.0,14.565427973854899,1,9.727801160231328,1.5227304059211837,2.2245592442404134,3.8412870798500647,0.0,48.300000000000004,80.3,13,0.11159737417943107,0.14359441408621737,0.05229793977812995,0.2822715925381205,0.09518381305215161,0.03333333333333333,0.09302325581395349,0.08415841584158416,0.06425857319274247,0.08281371710838796,0.7308533916849015,0.058593464967966954
